area,perimeter,bbox_width,bbox_height,aspect_ratio,circularity,solidity,extent,hog,hu_0,hu_log_0,hu_1,hu_log_1,hu_2,hu_log_2,hu_3,hu_log_3,hu_4,hu_log_4,hu_5,hu_log_5,hu_6,hu_log_6
41407.0,1204.3675309419632,224,224,1.0,0.35872822863797016,0.8326529791469767,0.8252351721938775,[0. 0. 0. ... 0. 0. 0.],0.21854721156588972,0.6604547302828748,0.00030846673070209635,3.510791669399427,5.5537674882700215e-05,4.25541230619812,0.00018201085353688128,3.7399027137147383,-1.8298164722817103e-08,-7.737592467139703,-3.1966103909560484e-06,-5.495310293152456,-2.2298075110649957e-10,-9.651732625961015
16408.0,558.9360731840134,224,84,2.6666666666666665,0.6599958921298611,0.9800501732170589,0.8720238095238095,[0. 0. 0. ... 0. 0. 0.],0.252286798470018,0.5981054744195128,0.037418952918350394,1.4269083693786306,1.73023202927219e-05,4.761895652781299,5.904945856129638e-06,5.228784080182885,1e-10,10.0,1.1352433615930556e-06,5.944911028983864,1e-10,10.0
24490.5,621.4873687028885,224,139,1.6115107913669064,0.796788217172239,0.9897950935618155,0.7865653905447071,[0. 0. 0. ... 0. 0. 0.],0.17986665781466246,0.7450493350932762,0.00700517087088703,2.1545812668909403,8.250703965811288e-08,7.083508995035014,3.2543430208621252e-09,8.487536672598853,1e-10,10.0,-2.2092641743373893e-10,-9.655752349951433,1e-10,10.0
38992.5,754.3401803970337,224,224,1.0,0.8611056965223554,0.9902102696937376,0.7771145567602041,[0.01287174 0.00174858 0.         ... 0.00209233 0.         0.0175756 ],0.15917540722688855,0.798124030384087,2.3611224858979626e-07,6.626881482819707,5.389585011725785e-08,7.268444673413623,1e-10,10.0,1e-10,10.0,1e-10,10.0,1e-10,10.0
